Movie Title,IMDB_Score,IMDB_Votes
Message from the King,6.4,16180.0
Sebastian Maniscalco: Why Would You Do That?,7.3,1063.0
Sleight,5.9,8644.0
Sniper: Ghost Shooter,,
Middle School: The Worst Years of My Life,6.0,8972.0
Rock the Kasbah,5.5,11963.0
Veteran,7.0,6501.0
A Very Murray Christmas,5.5,15428.0
Kevin Hart: What Now?,5.9,9458.0
Extraction,4.1,11180.0
Tramps,6.5,5460.0
The Warriors Gate,5.4,5057.0
The Dreamseller,6.0,1438.0
LEGO Marvel Super Heroes: Avengers Reassembled!,6.1,843.0
Incarnate,5.2,12918.0
Güeros,7.4,4120.0
Term Life,5.6,7860.0
The Distinguished Citizen,7.5,11495.0
Drishyam,8.2,79075.0
Tig,7.4,2649.0
John Mulaney: The Comeback Kid,7.9,8471.0
Kathleen Madigan: Bothering Jesus,,
Rocco,5.7,3972.0
Minimalism: A Documentary About the Important Things,6.7,15656.0
Fate/Grand Order: First Order,5.7,865.0
Lavender,5.3,7005.0
True Memoirs of an International Assassin,5.9,22466.0
The Darkness,4.5,15848.0
Hot Girls Wanted,6.1,17447.0
High & Low The Movie,6.6,563.0
Anthony Jeselnik: Thoughts and Prayers,,
Pandora,6.6,7304.0
Ok Kanmani,7.5,5722.0
The Lighthouse of the Orcas,6.8,3844.0
Shaun the Sheep: The Farmer's Llamas,6.8,1364.0
The Devil's Mistress,5.8,2325.0
Opening Night,6.0,2610.0
LEGO Jurassic World: The Indominus Escape,,
"Surviving Compton: Dre, Suge and Michel'le",6.6,645.0
Kapoor & Sons,7.7,25792.0
Baaghi,5.3,8826.0
Mercy,4.1,3402.0
Our Lovers,6.7,4140.0
Septembers of Shiraz,7.9,38.0
Ordinary World,5.5,3034.0
Dhanak,7.9,3893.0
The Visit,,
Jeff Foxworthy & Larry the Cable Guy: We've Been Thinking,5.6,614.0
Demetri Martin: Live (At The Time),7.4,2163.0
Brothers,6.4,12886.0
Rebirth,4.9,5156.0
Audrie & Daisy,7.2,6586.0
Riot,5.1,3332.0
Anjelah Johnson: Not Fancy,5.7,686.0
Colin Quinn: The New York Story,6.8,990.0
Divines,7.4,9739.0
MindGamers,3.6,1093.0
Tony Robbins: I Am Not Your Guru,6.7,4335.0
I Am Michael,5.6,5495.0
Justin Timberlake + The Tennessee Kids,7.8,2173.0
Heneral Luna,7.4,2089.0
Un + une,6.2,2279.0
Mucize,7.7,12395.0
The Heirs,5.7,224.0
Gabriel Iglesias: I'm Sorry for What I Said When I Was Hungry,7.4,2519.0
In the Shadow of Iris,6.1,4256.0
Jim Jefferies: Freedumb,7.7,5393.0
Force 2,6.2,5501.0
Couple Of Days,6.4,21.0
3000 Nights,7.1,676.0
6 Years,5.6,12441.0
Tamasha,7.4,26790.0
Manson Family Vacation,5.8,2965.0
Garfunkel and Oates: Trying to be Special,7.3,899.0
Strange Weather,6.0,1499.0
Rainbow Time,5.9,710.0
Extremis,,
Much Loved,6.2,2722.0
Always Be My Maybe,6.7,372.0
The Guardian Brothers,5.4,2100.0
"Chatô, The King of Brazil",5.4,18.0
Open Season: Scared Silly,,
Riphagen the Untouchable,7.1,7701.0
The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,6.3,5976.0
Udta Punjab,7.8,29819.0
Toro,5.9,3209.0
Jeff Dunham: Unhinged in Hollywood,6.7,713.0
Tom Segura: Mostly Stories,7.5,3508.0
Hunterrr,7.0,6199.0
Colin Quinn: Unconstitutional,7.0,465.0
Keith Richards: Under the Influence,7.1,3357.0
Ralphie May: Unruly,,
Mohenjo Daro,5.6,11595.0
4K Fireplace,7.7,48.0
Zip & Zap and the Captain's Island,5.8,605.0
Smoke & Mirrors,6.9,7900.0
I Called Him Morgan,7.3,1785.0
The Next Skin,6.2,1820.0
Belgica,6.7,4478.0
Taxi Driver,6.0,68.0
XOXO,5.3,6981.0
The White Helmets,,
Ali Wong: Baby Cobra,7.5,6925.0
The Lion Woman,6.6,1408.0
Prem Ratan Dhan Payo,4.4,21487.0
The Beginning of Life,7.6,934.0
Pyaar Ka Punchnama 2,7.3,14968.0
Chris Tucker: Live,6.3,1936.0
Schubert in Love,5.0,356.0
Dinosaur World,,
Raman Raghav 2.0,7.4,14380.0
Slam,6.1,1308.0
Gridlocked,5.8,4570.0
Jessica Darling's It List,5.5,973.0
