Show_ID,Movie Title,Director,Country,Release_Year,Rating_class,Duration,Categories,Type,IMDB_Score,IMDB_Votes
s703,Silver Linings Playbook,David O. Russell,United States,2012,R,122,"Comedies, Dramas, Independent Movies",Movie,7.7,697481.0
s709,Lowriders,Ricardo de Montreuil,United States,2016,PG-13,98,"Dramas, Independent Movies",Movie,5.6,2519.0
s712,Security,Peter Chelsom,Italy,2021,TV-MA,119,"Dramas, International Movies, Thrillers",Movie,5.7,18618.0
s712,Security,Peter Chelsom,Italy,2021,TV-MA,119,"Dramas, International Movies, Thrillers",Movie,5.0,1935.0
s713,Silver Skates,Michael Lockshin,,2020,TV-MA,138,"Action & Adventure, Dramas, International Movies",Movie,7.1,5774.0
s719,Life of Crime,Daniel Schechter,United States,2013,R,101,"Comedies, Independent Movies",Movie,5.8,18793.0
s722,Rogue Warfare: Death of a Nation,Mike Gunther,United States,2020,R,99,Action & Adventure,Movie,3.4,370.0
s725,The Reason I Jump,Jerry Rothwell,"United States, United Kingdom",2021,TV-14,82,Documentaries,Movie,7.5,802.0
s728,Picture a Scientist,"Ian Cheney, Sharon Shattuck",United States,2020,TV-MA,97,Documentaries,Movie,,
s729,The Devil Below,Bradley Parker,United States,2021,TV-MA,89,Horror Movies,Movie,4.2,4093.0
s730,Bling Empire - The Afterparty,,,2021,TV-MA,36,Movies,Movie,,
s731,Cobra Kai - The Afterparty,,,2021,TV-MA,34,Movies,Movie,,
s736,Sarbath,Prabhakaran,India,2021,TV-PG,113,"Comedies, Dramas, International Movies",Movie,5.6,262.0
s737,Skater Girl,Manjari Makijany,"United States, India",2021,PG,110,"Children & Family Movies, Dramas, International Movies",Movie,6.6,4180.0
s739,Trese After Dark,,,2021,TV-14,36,"Anime Features, Documentaries",Movie,,
s740,Wish Dragon,Chris Appelhans,"China, United States, Canada",2021,PG,102,"Children & Family Movies, Comedies",Movie,7.2,24712.0
s741,A Haunted House 2,Michael Tiddes,United States,2014,R,86,"Comedies, Horror Movies",Movie,4.6,21514.0
s742,Blind Intersections,Lara Saba,"Lebanon, United Arab Emirates",2012,TV-MA,91,"Dramas, International Movies",Movie,6.7,172.0
s744,Copenhagen,Mark Raso,"Canada, United States, Denmark",2014,TV-MA,99,"Dramas, Independent Movies, Romantic Movies",Movie,7.1,13135.0
